,price,bedrooms,bathrooms,sf,link,year_built,lot_size,view_description,on_waterfront,house_style,new_construction,garage_spaces
0,"$108,000 ",4,2 ba,"1,813 sqft",https://www.zillow.com/homedetails/8-Foster-St-Barre-VT-05641/75463271_zpid/,1893,"7,841 Acres",{},{}," New Englander,Victorian", No,0
0,"$230,000 ",3,2 ba,"1,924 sqft",https://www.zillow.com/homedetails/397-Pleasant-Hts-West-Rutland-VT-05777/75459031_zpid/,1979,"164,657 Acres",{},{}, Cape, No,2
0,"$395,000 ",7,4 ba,"3,200 sqft",https://www.zillow.com/homedetails/300-Elm-St-Montpelier-VT-05602/75467137_zpid/,1875,"10,454 Acres",{},{},{}, No,6
0,"$155,000 ",3,1 ba,"1,329 sqft",https://www.zillow.com/homedetails/33-100-N-Rte-South-Londonderry-VT-05155/2080990418_zpid/,1900,"101,495 Acres",{}, Yes," Antique,Farmhouse,New Englander", No,0
0,"$239,000 ",3,2 ba,"2,132 sqft",https://www.zillow.com/homedetails/31-Back-St-Calais-VT-05648/2108140431_zpid/,1850,"43,560 Acres",{},{}, Historic Vintage, No,2
0,"$1,375,000 ",5,4 ba,"5,327 sqft",https://www.zillow.com/homedetails/1609-East-St-North-Clarendon-VT-05759/2077711832_zpid/,1790,"862,488 Acres", Mountain(s),{}, Farmhouse, No,4
0,"$765,000 ",3,3 ba,"3,504 sqft",https://www.zillow.com/homedetails/88-Hawley-Ln-Rutland-VT-05701/92018612_zpid/,2004,"135,036 Acres", Mountain(s),{}, Farmhouse, No,2
0,"$95,000 ",4,1 ba,"1,805 sqft",https://www.zillow.com/homedetails/737-Richmond-Rd-Brandon-VT-05733/92026034_zpid/,1968,"708,286 Acres",{},{},{}, No,0
0,"$349,000 ",4,2 ba,"1,954 sqft",https://www.zillow.com/homedetails/24-Bromley-Forest-Rd-Bondville-VT-05340/299464601_zpid/,1975,"40,075 Acres", Mountain(s),{}, Chalet, No,2
0,"$335,000 ",3,2 ba,"3,128 sqft",https://www.zillow.com/homedetails/729-Coy-Hill-Rd-Middletown-Springs-VT-05757/75453336_zpid/,1992,"439,956 Acres", Mountain(s),{}," Log Cabin,Ranch", No,2
0,"$425,000 ",2,2 ba,"1,772 sqft",https://www.zillow.com/homedetails/219-S-Mendon-Rd-Rutland-VT-05701/299474428_zpid/,1984,"82,764 Acres",{},{}, Contemporary, No,5
0,"$699,000 ",3,3 ba,"2,480 sqft",https://www.zillow.com/homedetails/138-Bryant-Rd-LOT-3-Manchester-Center-VT-05255/2076569531_zpid/,2000,"277,913 Acres", Mountain(s),{}, Colonial, No,2
0,"$650,000 ",5,4 ba,"3,368 sqft",https://www.zillow.com/homedetails/3020-Winhall-Hollow-Rd-South-Londonderry-VT-05155/235257572_zpid/,1988,"436,036 Acres",{},{}, Contemporary, No,2
