,price,bedrooms,bathrooms,sf,link,year_built,lot_size,view_description,on_waterfront,house_style,new_construction,garage_spaces
0,"$400,000", 3,5 ba,"2,460 sqft",https://www.zillow.com/homedetails/451-Colson-Rd-Northfield-VT-05663/75469063_zpid/,1994,"879,912 Acres", Mountain(s),{}, Contemporary, No, 0
0,"$896,500", 3,4 ba,{},https://www.zillow.com/homedetails/3286-Lake-Rd-Newport-Center-VT-05857/75449375_zpid/,1982,"276,170 Acres", Mountain(s), Yes," Contemporary,Modern Architecture,Multi Level", No, 2
0,"$179,000", 3,2 ba,"2,500 sqft",https://www.zillow.com/homedetails/27-Saint-Catherine-Ct-Wells-VT-05774/2078145720_zpid/,2010,"13,939 Acres", Mountain(s),{}, Ranch, No, 0
0,"$229,900", 3,2 ba,"1,953 sqft",https://www.zillow.com/homedetails/332-River-Rd-Newfane-VT-05345/2126908888_zpid/,1900,"78,408 Acres",{},{}, Farmhouse, No, 1
0,"$387,000", 4,2 ba,"1,760 sqft",https://www.zillow.com/homedetails/10-Country-Club-Dr-S-Burlington-VT-05403/49678223_zpid/,1969,"19,602 Acres",{},{}, Colonial, No, 2
0,"$425,000", 4,2 ba,"1,500 sqft",https://www.zillow.com/homedetails/8-Starr-Farm-Bch-Burlington-VT-05408/250910888_zpid/,1910,No Data,{}, Yes, Cottage/Camp, No, 3
0,"$165,000", 3,2 ba,"2,170 sqft",https://www.zillow.com/homedetails/47-Roberts-Ave-Rutland-VT-05701/92023417_zpid/,1900,"10,890 Acres",{},{}, New Englander, No, 2
0,"$449,900", 4,2 ba,"3,396 sqft",https://www.zillow.com/homedetails/98-Hyde-Rd-Grand-Isle-VT-05458/75438728_zpid/,1850,"152,460 Acres",{},{}, Farmhouse, No, 0
0,"$470,000", 4,4 ba,"3,252 sqft",https://www.zillow.com/homedetails/9-Judson-Dr-Montpelier-VT-05602/75466694_zpid/,1989,"53,579 Acres",{},{}, Colonial, No, 3
0,"$575,000", 3,2 ba,"1,902 sqft",https://www.zillow.com/homedetails/32-N-Randolph-Rd-Greensboro-VT-05841/2083841326_zpid/,1994,"9,148 Acres",{}, Yes, Cape, No, 1
0,"$444,000", 5,4 ba,"3,758 sqft",https://www.zillow.com/homedetails/15-Orchard-St-Springfield-VT-05156/75484703_zpid/,1900,"43,560 Acres",{},{}, Colonial, No, 2
0,"$239,000", 3,2 ba,"1,144 sqft",https://www.zillow.com/homedetails/4-White-Birch-Dr-Springfield-VT-05156/75485651_zpid/,1972,"17,424 Acres",{},{}, Ranch, No, 2
0,"$399,000", 3,2 ba,"2,500 sqft",https://www.zillow.com/homedetails/305-Mount-Vernon-St-Newport-VT-05855/75448490_zpid/,1996,"108,900 Acres",{},{}, Contemporary, No, 2
0,"$649,900", 4,4 ba,"4,488 sqft",https://www.zillow.com/homedetails/678-Stonehouse-Rd-Whitingham-VT-05342/92039225_zpid/,1992,"1,089,000 Acres",{},{}, Colonial, No, 2
0,"$1,495,000", 4,4 ba,"4,672 sqft",https://www.zillow.com/homedetails/414-416-Dorset-Hollow-Rd-Dorset-VT-05251/2099454944_zpid/,1820,"831,996 Acres", Mountain(s),{}," Antique,Colonial,Farmhouse,Historic Vintage,New Englander", No, 2
0,"$275,000", 2,2 ba,"1,170 sqft",https://www.zillow.com/homedetails/49-Stearns-Ave-Wilmington-VT-05363/128911439_zpid/,1951,"8,712 Acres", Mountain(s),{}, Cape, No, 1
0,"$139,000", 3,2 ba,"1,640 sqft",https://www.zillow.com/homedetails/1139-Parker-Rd-Danville-VT-05828/75428352_zpid/,1880,"209,088 Acres",{},{}, Cape, No, 0
0,"$109,000", 3,1 ba,"1,092 sqft",https://www.zillow.com/homedetails/1714-Route-7-S-Bennington-VT-05201/2079664469_zpid/,1934,"44,867 Acres", Mountain(s),{}, Ranch, No, 1
0,"$149,900", 4,2 ba,"1,315 sqft",https://www.zillow.com/homedetails/196-S-Main-St-Barre-VT-05641/75462386_zpid/,1897,"10,890 Acres",{},{}, New Englander, No, 0
0,"$435,695", 3,3 ba,"1,680 sqft",https://www.zillow.com/homedetails/LOT-3-Lakeview-Dr-Monkton-VT-05469/2077151434_zpid/,No Data,"52,708 Acres",{},{}, Colonial, Yes, 2
0,"$470,000", 4,3 ba,"2,572 sqft",https://www.zillow.com/homedetails/1093-Chapman-Rd-Plymouth-VT-05149/217743457_zpid/,1982,"382,021 Acres",{},{}, Ranch, No, 10
0,"$699,000", 4,3 ba,"3,592 sqft",https://www.zillow.com/homedetails/4863-Case-St-Middlebury-VT-05753/75411729_zpid/,1840,"4,756,752 Acres", Mountain(s),{}, Farmhouse, No, 2
0,"$350,000", 3,3 ba,-- sqft,https://www.zillow.com/homedetails/1140-North-St-Wells-VT-05774/248674107_zpid/,2013,"8,712 Acres"," Mountain(s), Water", Yes, Contemporary, No, 2
0,"$519,000", 3,3 ba,"2,847 sqft",https://www.zillow.com/homedetails/337-Dallinger-Rd-New-Haven-VT-05472/81622853_zpid/,1978,"1,036,728 Acres",{},{}, Post and Beam, No, 0
0,"$110,000", 4,1 ba,"1,020 sqft",https://www.zillow.com/homedetails/74-Balsam-Dr-Leicester-VT-05733/299442314_zpid/,1925,"10,890 Acres",{},{}, Cottage/Camp, No, 0
0,"$395,000", 3,3 ba,"3,528 sqft",https://www.zillow.com/homedetails/114-Victoria-Dr-Rutland-VT-05701/75456766_zpid/,1971,"39,640 Acres", Mountain(s),{}, Ranch, No, 1
0,"$171,500", 2,1 ba,792 sqft,https://www.zillow.com/homedetails/1288-Brookman-Rd-Pownal-VT-05261/299464023_zpid/,1969,"108,900 Acres",{},{}, Chalet, No, 0
0,"$625,000", 3,3 ba,"2,606 sqft",https://www.zillow.com/homedetails/828-Wheelock-Rd-Hartford-VT-05001/303987926_zpid/,1974,"55,757 Acres",{},{}, Split Level, No, 2
0,"$299,000", 3,2 ba,"4,303 sqft",https://www.zillow.com/homedetails/2312-Scott-Hwy-Groton-VT-05046/2113965236_zpid/,1972,"522,720 Acres",{},{}," Cape,Log Cabin", No, 0
0,"$2,500,000", 4,3 ba,"4,506 sqft",https://www.zillow.com/homedetails/5392-Mountain-Rd-Stowe-VT-05672/92005853_zpid/,2004,"138,521 Acres", Mountain(s),{}, Farmhouse, No, 2
0,"$198,000", 5,3 ba,"3,504 sqft",https://www.zillow.com/homedetails/223-Main-St-Lyndonville-VT-05851/2083296490_zpid/,1860,"11,326 Acres",{},{}, Victorian, No, 2
0,"$188,000", 3,2 ba,"1,936 sqft",https://www.zillow.com/homedetails/16-Lake-St-Alburgh-VT-05440/2081584784_zpid/,1989,0.96 Acres,{},{},{}, No, 2
0,"$135,000", 2,1 ba,866 sqft,https://www.zillow.com/homedetails/370-Business-Rte-4-Rutland-VT-05701/2079214285_zpid/,1923,"12,197 Acres",{},{}," Bungalow,Cape", No, 2
0,"$199,900", 3,3 ba,"2,903 sqft",https://www.zillow.com/homedetails/12-Crescent-St-Rutland-VT-05701/92022477_zpid/,1913,"14,375 Acres",{},{}, New Englander, No, 3
0,"$280,000", 3,1 ba,"1,464 sqft",https://www.zillow.com/homedetails/50-Sugarbush-Hill-Dr-Cambridge-VT-05444/75441721_zpid/,1980,"67,518 Acres", Mountain(s),{}, Ranch, No, 2
0,"$129,000", 2,1 ba,"1,040 sqft",https://www.zillow.com/homedetails/584-Holland-Rd-Derby-Line-VT-05830/2077280773_zpid/,1978,"217,800 Acres",{},{}, Ranch, No, 2
0,"$347,000", 4,4 ba,"3,660 sqft",https://www.zillow.com/homedetails/4079-State-Route-16-East-Hardwick-VT-05836/91998604_zpid/,2005,"186,001 Acres",{},{}, Raised Ranch, No, 0
0,"$200,000", 3,1 ba,960 sqft,https://www.zillow.com/homedetails/706-Route-7-S-Middlebury-VT-05753/75411940_zpid/,1960,"13,068 Acres",{},{}, Ranch, No, 0
0,"$350,000", 3,3 ba,"2,259 sqft",https://www.zillow.com/homedetails/329-Dudley-Rd-Middletown-Springs-VT-05757/2093155952_zpid/,1993,"560,182 Acres",{},{}," Contemporary,Post and Beam", No, 2
0,"$659,000", 4,3 ba,"5,328 sqft",https://www.zillow.com/homedetails/790-Post-Rd-Rutland-VT-05701/250978635_zpid/,1982,"227,383 Acres", Mountain(s),{}, Contemporary, No, 3
0,"$350,000", 3,2 ba,"2,688 sqft",https://www.zillow.com/homedetails/111-Harmony-Ln-Manchester-Center-VT-05255/2076676244_zpid/,1998,"108,029 Acres", Mountain(s), Yes, Cape, No, 1
0,"$550,000", 4,3 ba,"1,920 sqft",https://www.zillow.com/homedetails/1311-W-Lake-Rd-Wells-VT-05774/220903427_zpid/,1930,"74,488 Acres", Mountain(s), Yes, Farmhouse, No, 5
0,"$1,175,000", 7,7 ba,"5,088 sqft",https://www.zillow.com/homedetails/273-W-Shore-Rd-South-Hero-VT-05486/92002575_zpid/,1992,"169,884 Acres",{}, Yes, Colonial, No, 2
0,"$499,000", 10,10 ba,"5,317 sqft",https://www.zillow.com/homedetails/120-State-Route-100-West-Dover-VT-05356/2076567071_zpid/,1885,"10,890 Acres",{},{}, Farmhouse, No, 6
0,"$399,000", 2,2 ba,"1,632 sqft",https://www.zillow.com/homedetails/12-Old-Gould-Farm-Rd-Elmore-VT-05661/227725587_zpid/,1979,"439,956 Acres", Mountain(s),{}, Contemporary, No, 1
0,"$498,000", 3,5 ba,"4,387 sqft",https://www.zillow.com/homedetails/6182-Tyson-Rd-Reading-VT-05153/92047307_zpid/,2004,"219,107 Acres", Mountain(s),{}, Cape, No, 3
0,"$925,000", 3,4 ba,"2,016 sqft",https://www.zillow.com/homedetails/220-Black-Bear-Holw-Waterbury-VT-05676/75471232_zpid/,1998,"1,990,692 Acres", Mountain(s),{}, Colonial, No, 4
0,"$289,000", 5,2 ba,"2,000 sqft",https://www.zillow.com/homedetails/2230-Pepin-Rd-Brownington-VT-05860/75451127_zpid/,2009,"453,024 Acres",{},{}, Colonial, No, 4
0,"$625,000", 3,2 ba,"1,900 sqft",https://www.zillow.com/homedetails/365-Glinnis-Rd-West-Berlin-VT-05663/115807782_zpid/,1890,"8,842,680 Acres",{}, Yes," Cape,Farmhouse", No, 2
0,"$275,000", 4,1 ba,937 sqft,https://www.zillow.com/homedetails/20-Iodine-Springs-St-South-Hero-VT-05486/231167717_zpid/,1969,"113,256 Acres",{},{}, Cabin, No, 0
0,"$499,000", 5,5 ba,"2,085 sqft",https://www.zillow.com/homedetails/150-171-Benson-Rd-Richford-VT-05476/2080350269_zpid/,1992,"6,011,280 Acres",{}, Yes," Farmhouse,Historic Vintage,Log Cabin", No, 5
0,"$225,000", 3,2 ba,"1,600 sqft",https://www.zillow.com/homedetails/26-Lake-St-Alburg-VT-05440/92003381_zpid/,2021,"21,780 Acres",{},{}, Raised Ranch, No, 1
0,"$457,675", 3,2 ba,"1,898 sqft",https://www.zillow.com/homedetails/116-Two-Brothers-Dr-South-Burlington-VT-05403/2077540405_zpid/,No Data,$153/mo,{},{}, Multi Level, Yes, 2
0,"$985,000", 6,8 ba,"6,506 sqft",https://www.zillow.com/homedetails/23-Highland-Rd-Springfield-VT-05156/217746801_zpid/,1811,"190,793 Acres", Mountain(s),{}, Federal, No, 3
0,"$259,900", 4,2 ba,"1,728 sqft",https://www.zillow.com/homedetails/561-Shipyard-Bay-Rd-Highgate-VT-05459/2083974967_zpid/,1920,"20,038 Acres",{}, Yes, Cottage/Camp, No, 2
0,"$209,000", 4,2 ba,"1,532 sqft",https://www.zillow.com/homedetails/101-Chimney-Hill-Rd-Wilmington-VT-05363/235266482_zpid/,1970,"$1,205/yr",{},{}, Chalet, No, 0
0,"$95,000", 2,2 ba,"1,152 sqft",https://www.zillow.com/homedetails/1851-State-Highway-105-Island-Pond-VT-05846/2077138444_zpid/,2009,"47,916 Acres",{},{}, Cottage/Camp, No, 0
0,"$299,000", 4,4 ba,"2,400 sqft",https://www.zillow.com/homedetails/19-Edwards-Village-Loop-West-Dover-VT-05356/235253936_zpid/,1979,"47,480 Acres",{},{}, Colonial, No, 0
